75 Cet c,Radial Velocity,2023,Okayama Astrophysical Observatory,2051.62,45.98,-40.47,0,289.85951,27.9689,-45.44946,0,82.9613,0.72365,-0.72365
8 UMi b,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,4.5,-4.5,0,416.3573,50.8528,-50.8528,0,162.552,0.651,-0.646
8 UMi b,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,4.5,-4.5,0,476.745,63.566,-63.566,0,162.552,0.651,-0.646
81 Cet b,Radial Velocity,2008,Okayama Astrophysical Observatory,952.7,8.8,-8.8,0,1684.4,,,0,101.26,1.222,-1.222
81 Cet b,Radial Velocity,2008,Okayama Astrophysical Observatory,,,,,1274.4,190.7,-95.3,0,101.26,1.222,-1.222
81 Cet b,Radial Velocity,2008,Okayama Astrophysical Observatory,1005.57,1.84,-1.94,0,1051.05854,24.79062,-21.2945,0,101.26,1.222,-1.222
91 Aqr b,Radial Velocity,2013,Lick Observatory,181.4,0.1,-0.1,0,1017,,,0,44.0304,0.51325,-0.51325
AB Aur b,Imaging,2022,Subaru Telescope,,,,,2860.45566,,,0,162.127,1.526,-1.498
AB Pic b,Imaging,2005,Paranal Observatory,,,,,4290.5,158.9,-158.9,0,50.0475,0.0735,-0.0733
AF Lep b,Imaging,2023,Paranal Observatory,8030,1800,-1800,0,1017.0509,222.47988,-190.69704,0,26.8564,0.0189,-0.0188
AF Lep b,Imaging,2023,Paranal Observatory,9060,3650,-2480,0,1366.66215,921.70238,-381.39409,0,26.8564,0.0189,-0.0188
AF Lep b,Imaging,2023,Paranal Observatory,7520,1200,-1300,0,1664.46737,27.01541,-31.78284,0,26.8564,0.0189,-0.0188
AU Mic b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46321,,,0,,,,,9.7221,0.004625,-0.004625
AU Mic b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.4631427,,,0,10.2,3.9,-2.7,0,9.7221,0.004625,-0.004625
AU Mic b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),,,,,,,,,9.7221,0.004625,-0.004625
AU Mic b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.4630004,0.0000058,-0.000006,0,,,,,9.7221,0.004625,-0.004625
AU Mic b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.4629991,,,0,20.12,1.57,-1.72,0,9.7221,0.004625,-0.004625
AU Mic b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46321,,,0,17.1,4.7,-4.5,0,9.7221,0.004625,-0.004625
AU Mic b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46321,0.00004,-0.00004,0,57.2094,,,1,9.7221,0.004625,-0.004625
AU Mic b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.463,0.000002,-0.000002,0,17,5,-5,0,9.7221,0.004625,-0.004625
AU Mic b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.463,0.000002,-0.000002,0,11.7,5,-5,0,9.7221,0.004625,-0.004625
AU Mic c,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.859019,0.000016,-0.000016,0,13.6,11.4,-11.4,0,9.7221,0.004625,-0.004625
AU Mic c,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.858982,0.000053,-0.00005,0,,,,,9.7221,0.004625,-0.004625
AU Mic c,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.858991,,,0,9.6,2.07,-2.31,0,9.7221,0.004625,-0.004625
AU Mic c,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.859019,0.0000016,-0.0000016,0,22.2,6.7,-6.7,0,9.7221,0.004625,-0.004625
AU Mic c,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.85882,,,0,14.2,4.8,-3.5,0,9.7221,0.004625,-0.004625
BD+03 2562 b,Radial Velocity,2017,Multiple Observatories,481.9,2.7,-2.8,0,2034.112,413.179,-413.179,0,1070.63,63.875,-63.875
BD+14 4559 b,Radial Velocity,2009,McDonald Observatory,268.94,0.99,-0.99,0,330.5432,149.3801,-149.3801,0,49.352,0.0846,-0.0844
BD+14 4559 b,Radial Velocity,2009,McDonald Observatory,268.94,0.99,-0.99,0,467.19,,,0,49.352,0.0846,-0.0844
BD+15 2375 b,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22,0.44,-0.44,0,337.21763,85.8141,-85.8141,0,768.045,45.038,-45.038
BD+15 2940 b,Radial Velocity,2013,McDonald Observatory,137.48,0.34,-0.34,0,352.78,,,0,426.42,6.44,-6.44
BD+20 2457 b,Radial Velocity,2009,McDonald Observatory,379.63,2.01,-2.01,0,6807.63,,,0,1539.71,189.925,-189.925
BD+20 2457 b,Radial Velocity,2009,McDonald Observatory,379.63,2,-2,0,17668.1697,24965.5465,-24965.5465,0,1539.71,189.925,-189.925
BD+20 2457 c,Radial Velocity,2009,McDonald Observatory,621.99,10.2,-10.2,0,3963.17,,,0,1539.71,189.925,-189.925
BD+20 274 b,Radial Velocity,2012,McDonald Observatory,578.2,5.4,-5.4,0,1334.886,,,0,1322.51,80.535,-80.535
BD+20 594 b,Transit,2016,K2,41.688644,0.003353,-0.003419,0,,,,,179.461,1.257,-1.24
BD+20 594 b,Transit,2016,K2,41.6855,0.003,-0.0031,0,16.3,6,-6.1,0,179.461,1.257,-1.24
BD+20 594 b,Transit,2016,K2,41.6855,0.003,-0.003,0,22.2481,9.5349,-9.5349,0,179.461,1.257,-1.24
BD+45 564 b,Radial Velocity,2021,Haute-Provence Observatory,307.88,1.47,-1.47,0,432.24663,38.13941,-38.13941,0,53.622,0.1919,-0.1905
BD+48 738 b,Radial Velocity,2011,McDonald Observatory,392.6,5.5,-5.5,0,289.2253,,,0,871.493,43.849,-43.849
BD+48 740 b,Radial Velocity,2018,Multiple Observatories,733,5,-8,0,540.311,222.481,-222.481,0,666.589,21.5335,-21.5335
BD+49 828 b,Radial Velocity,2015,McDonald Observatory,2590,300,-180,0,508.5,127.1,-63.6,0,442.042,7.654,-7.654
BD+55 362 b,Radial Velocity,2021,Haute-Provence Observatory,265.59,1.04,-1.04,0,228.83645,25.42627,-25.42627,0,52.5697,0.0974,-0.0971
BD+60 1417 b,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,,,,,4767.4261,1589.14204,-1589.14204,0,44.9543,0.0593,-0.0592
BD+63 1405 b,Radial Velocity,2021,Haute-Provence Observatory,1198.48,60.79,-60.79,0,1258.60049,98.52681,-98.52681,0,38.0473,0.0329,-0.0329
BD+63 1405 b,Radial Velocity,2021,Haute-Provence Observatory,1230,44,-40,0,3305.41543,413.17693,-349.61125,0,38.0473,0.0329,-0.0329
